duration,enum,ignore,ignore_2,person_id,wereda,treatmentcontrol,age,ketena,relationship,education,partner_education,norms_1_treatment,norms_2_treatment,femaletrait_treatment,femaletrait_treatment_recode_1,femaletrait_treatment_recode_2,femaletrait_treatment_recode_3,femaletrait_treatment_recode_mean,ideal_employee_treatment,ideal_employee_treatment_1,ideal_employee_treatment_2,ideal_employee_treatment_3,ideal_employee_treatment_4,ideal_employee_treatment_5,ideal_employee_treatment_6,ideal_employee_treatment_98,employed_treatment,job_treatment,previous_job_treatment,previous_job_treatment_id,job_id_treatment_total,partner_employed_treatment,partner_job_treatment,partner_job_treatment_id,coworker_classmate_treatment,previous_coworker_classmate_treatment,coworker_classmate_treatment_total,supervisor_treatment,previous_supervisor_treatment,supervisor_treatment_total,values_1,values_2,values_3,values_4,attitudes_grt_1,attitudes_grt_4,attitudes_grt_3,gender_att_exp_1,attitudes_grt_2,gender_att_exp_2,attitudes_force_1,attitudes_force_2,attitudes_force_3,attitudes_force_4,ideal_employee,ideal_employee_1,ideal_employee_2,ideal_employee_3,ideal_employee_4,ideal_employee_5,ideal_employee_6,ideal_employee_98,norms_1,norms_2,femaletrait,femaletrait_recode_1,femaletrait_recode_2,femaletrait_recode_3,femaletrait_recode_3_mean,employed,job,job_id,previous_job,previous_job_id,job_id_total,partner_employed,partner_job,partner_job_id,coworker_classmate,previous_coworker_classmate,coworker_classmate_total,supervisor,previous_supervisor,supervisor_total,norms_1_com,norms_2_com,femaletrait_recode_com,ideal_employee_com,employed_com,job_id_com,partner_employed_com,partner_job_id_com,supervisor_com,coworker_classmate_com,military,living_situation,chores,ses,ses_1,ses_2,ses_3,ses_4,ses_5,ses_6,ses_98
2344,3,0,1,11810633,1,0.864811088,53,1,3,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,4,-1,1,-1,,1,,1,2,2,4,1 2 6,1,1,0,0,0,1,0,-1,0,,,,,,0,,,Construction,6,6,,,,,2,2,,0,0,-1,0,,1 2 6,0,6,,,0,2,1,2,0,1 2 3 5,1,1,1,0,1,0,0
995,3,0,1,11810648,1,0.334178636,30,97,1,3,3,0,-1,"Welcomes others, committed/good work ethics",0,1,,0.5,1 4 6,1,0,0,1,0,1,0,0,,Construction,6,6,1,Domestic worker,20,,2,2,,0,0,2,4,3,4,0,1,-1,,0,,4,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0.5,1 4 6,0,6,1,20,0,2,0,,2,3,0,0,1,0,0,0,0
1065,3,0,1,11810953,1,0.077503269,36,1,1,3,3,-1,-1,Collaboration,0,,,0,2 5 6,0,1,0,0,1,1,0,1,Construction,,,6,0,,,2,,2,0,,0,1,3,1,4,-1,1,-1,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0,2 5 6,1,6,0,,0,2,1,,1,3 6,0,0,1,0,0,1,0
861,3,0,1,11811138,1,0.932722361,49,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,-1,1,0,,1,,4,4,4,4,1 2 3,1,1,1,0,0,0,0,-1,98,Customer service (de-escalation),0,,,0,1,Driver,8,,,8,0,,,2,,2,0,,0,-1,98,0,1 2 3,1,8,0,,0,2,0,,0,1 2 3,1,1,1,0,0,0,0
1961,3,0,1,11811942,1,0.71704206,45,8,1,3,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,-1,1,-1,,1,,2,4,4,4,1 3 6,1,0,1,0,0,1,0,-1,1,"Good character, personable/welcoming, sociable",0,0,0,0,1,Guard,14.1,,,14.1,1,Retail trade,7,2,,2,0,,0,-1,1,0,1 3 6,1,14.1,1,7,0,2,0,,2,2 3,0,1,1,0,0,0,0
1090,3,0,1,11810154,1,0.544914477,24,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,4,-1,0,0,,1,,4,4,4,4,1 4 6,1,0,0,1,0,1,0,-1,-1,Committed/good work ethics,1,,,1,1,Repairing,7.1,,,7.1,,,,2,,2,2,,2,-1,-1,1,1 4 6,1,7.1,,,2,2,1,1,,1 3,1,0,1,0,0,0,0
1803,2,1,0,11710047,1,0.091913917,38,8,1,97,97,-1,-1,98,,,,,2 3 6,0,1,1,0,0,1,0,1,Construction,,,6,0,,,1,,1,0,,0,3,3,4,3,0,1,-1,,1,,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,2 3 6,1,6,0,,0,1,1,,3,1,1,0,0,0,0,0,0
1558,1,0,0,11911133,1,0.060224878,74,5,1,4,6,0,1,"Strong,Exemplary leadership and believe in team work",,,0,0,3 5 6,0,0,1,0,1,1,0,0,,Teacher,16,16,0,,,,3,3,,1,1,2,2,1,3,-1,0,0,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,3 5 6,0,16,0,,1,3,1,,0,2 3,0,1,1,0,0,0,0
2360,3,0,1,12210287,1,0.453871382,50,2,1,3,,0,0,"Provides good service, respects the time of customers, performs tasks appropriately",0,0,1,0.333333333,2 4 6,0,1,0,1,0,1,0,1,Driver,,,8,0,,,2,,2,3,,3,4,98,98,98,0,0,-1,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.333333333,2 4 6,1,8,0,,3,2,0,,1,1 3 4,1,0,1,1,0,0,0
2080,2,1,0,11710249,1,0.622042998,35,5,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,-1,1,-1,,1,,1,4,4,4,2 5 6,0,1,0,0,1,1,0,0,1,"Kind character, customer service (explains things patiently)",0,0,,0,0,,,Sanitation,14.11,14.11,0,,,,3,3,,1,1,0,1,0,2 5 6,0,14.11,0,,1,3,0,,3,3,0,0,1,0,0,0,0
